,log2FoldChange,pvalue,padj,significant,mean_log2_expression
CAPS,-1.8874803414927896,6.840419501496264e-09,6.690392909531081e-07,True,5.160893159721553
ESR1,2.1995930601306637,6.921785491536725e-09,6.712676319022749e-07,True,3.59894081602564
FOXP2,1.3350294653953128,6.929513734445098e-09,6.712676319022749e-07,True,1.6811994572183715
ITIH5,1.281464517890241,7.01753341862556e-09,6.765570552071099e-07,True,4.62118649578374
PHYHIP,2.0601723219870616,7.09222244152219e-09,6.805172300998022e-07,True,1.8359702090082237
LRRC15,-1.9125464085017345,7.218639819596321e-09,6.893801027714486e-07,True,2.9624048699485064
EMCN,1.1957868798333813,7.450240088971613e-09,7.081575626353018e-07,True,2.2049781658301337
CDCA8,-1.73738458512662,7.595667393465555e-09,7.186069254584282e-07,True,2.0010700802288683
IFI30,-2.3758350772222614,8.109271552321719e-09,7.565912988401176e-07,True,5.161401617116896
CCNA2,-1.4023062576344785,8.051880270247025e-09,7.565912988401176e-07,True,1.5629285603739747
CEP55,-1.2523011848926617,8.104028166987761e-09,7.565912988401176e-07,True,1.5592774041205406
GINS1,-1.477942428537848,8.180099985888132e-09,7.596986436435373e-07,True,2.0886176734062816
GFRA2,1.103471012821572,8.489077184354154e-09,7.818074206355121e-07,True,1.720039488121818
PER2,1.090469625333041,8.495388350282163e-09,7.818074206355121e-07,True,4.670900587085631
TNXB,2.142396846254635,8.706430781254906e-09,7.97603609037497e-07,True,5.21923889334722
ATOH8,1.6540400311058547,9.091029259500312e-09,8.290854882335284e-07,True,2.343311666985442
TRIM65,-1.004563990440667,9.140148475334657e-09,8.298271122494415e-07,True,4.321856348497681
HIST1H2AL,-2.574789931215428,9.400298942312797e-09,8.496359481520754e-07,True,3.8802279847549874
ASF1B,-1.8525089181023835,9.44624920330821e-09,8.49994494978569e-07,True,2.774253154689899
LCN10,1.5719413744113422,9.671954020441358e-09,8.637041973945681e-07,True,1.5916400131145538
ADCY5,1.8655900043508462,9.683930297765828e-09,8.637041973945681e-07,True,2.7308543811197485
CDCA3,-1.6204997526475249,1.0250866835804045e-08,9.102589910424943e-07,True,3.225893273342247
FANCA,-1.7945724091258501,1.0305055713546513e-08,9.110749256614092e-07,True,4.796607387356877
CXCL9,-2.308132498996626,1.0764976419698808e-08,9.434965913126497e-07,True,2.4212682872069005
RECQL4,-2.1107989603618473,1.1332282645164062e-08,9.889370449741017e-07,True,4.234595336203338
TMOD1,1.1838853043380753,1.1569961098774761e-08,1.0053452034583426e-06,True,1.3529389297196268
KIFC1,-1.975488176465252,1.1769475267376917e-08,1.01397785643963e-06,True,3.118708379165115
DACH1,1.1837336947661063,1.2421482919548515e-08,1.0656158609710984e-06,True,1.4825452751678667
LSP1,2.164253836060924,1.2817695633446497e-08,1.0949665223407501e-06,True,9.092839684560179
KY,1.2589390293900093,1.3068141996331865e-08,1.1116706002425836e-06,True,1.444645203547587
SYBU,1.6449763869139609,1.3259932466641886e-08,1.1232660783248184e-06,True,2.8088663410143853
KIF26B,-1.7569649136065273,1.3419335043812758e-08,1.127335507456569e-06,True,2.832235037805462
PIK3R2,1.4606087601597562,1.3404507032876434e-08,1.127335507456569e-06,True,8.37565865653978
TAC1,1.7234608912294103,1.3541427340522211e-08,1.132891479075259e-06,True,1.1254048273490076
RNASEH2A,-1.0585112120132165,1.4149259593231305e-08,1.1766053966642479e-06,True,4.229824615413346
PARP1,-1.2550353020142424,1.418016975136207e-08,1.1766053966642479e-06,True,5.145424508778818
ZNF695,-1.4533399800011209,1.4822184810305909e-08,1.2248569537528712e-06,True,1.3779393986423691
C21orf58,-1.4991141736419995,1.5557694536281514e-08,1.280410908868112e-06,True,3.4419650222319005
HCAR3,1.16813802974863,1.567796163795071e-08,1.2850850660807695e-06,True,1.1118124513973264
PMEPA1,-1.9902650183500592,1.6536697360582025e-08,1.3500079627513858e-06,True,5.419124730493885
ATP1A2,1.887259424513222,1.7005729141930574e-08,1.3827228602711903e-06,True,1.9651245459862163
MCM4,-1.4588998021879673,1.7216175702449088e-08,1.394234773087137e-06,True,5.330257211304076
ZNF385D,1.4340582511992166,1.7687760748751892e-08,1.4267187415108798e-06,True,2.556424424133603
ITFG3,1.9205208254040684,1.7786905308844993e-08,1.4290225590590308e-06,True,8.746729764515818
HIST1H3C,-3.025479747466598,1.8156672311676235e-08,1.452964377953348e-06,True,4.925096605875542
CDH6,1.2542287698941916,1.8261405598418355e-08,1.4555921958487324e-06,True,1.8807936200154551
PRELP,1.142043481193478,1.8917008524857533e-08,1.5019362925265317e-06,True,3.933361295075907
CENPM,-1.8537720587729,1.9366655608749443e-08,1.531630115057583e-06,True,2.9511090865233838
MAPT,1.3068556637505453,1.9545258872804524e-08,1.5397405102677059e-06,True,3.1361038399004943
ZWINT,-1.7822441738287211,1.968028077629501e-08,1.5443680798328247e-06,True,2.988507180117529
ASPM,-1.2901844357251733,2.0059514884740316e-08,1.5620189936786631e-06,True,1.3468435563618841
PRRG3,1.4326572176280985,1.998498065889067e-08,1.5620189936786631e-06,True,1.9390283373356965
NXPH3,1.4213162844769303,2.03474683002333e-08,1.578371046768289e-06,True,1.8268378001200787
SOX5,1.430754281816037,2.0456180685338165e-08,1.5807474586082308e-06,True,2.3730422359295575
ABCB1,1.313329976715439,2.1131179577547155e-08,1.6266990940190863e-06,True,1.8772556112484842
TONSL,-1.3818165525980781,2.1742940824914233e-08,1.6674529543227786e-06,True,3.6899218256749133
